,year,count
0,2003,2731
1,2004,2715
2,2005,2781
3,2006,2971
4,2007,3263
5,2008,3215
6,2009,3847
7,2010,3903
8,2011,3048
9,2012,3136
10,2013,2714
11,2014,2419
12,2015,1951
13,2016,1885
14,2017,1420
15,2018,1338
16,2019,1482
17,2020,508
