78741,203131
78753,174699
78701,166383
78758,155439
78704,151742
78745,147797
78702,134855
78744,123657
78723,115938
78752,83024
78748,66418
78759,64700
78751,62826
78757,56518
78705,55898
78721,46838
78749,39639
78724,36895
78727,35051
78703,34543
78731,27889
78746,27697
78729,24938
78750,23024
78754,22033
78722,19417
78756,17780
78617,16825
,15435
78735,15285
78747,12797
78717,12411
78719,11740
78726,11092
78613,7994
78660,7298
78739,6136
78736,4543
78725,3499
78742,3023
78730,2974
78653,1806
78728,1373
78652,674
78664,369
78712,334
78733,319
78732,295
78737,211
78681,210
78610,130
78734,102
78641,66
0,62
78738,43
78621,28
78645,24
76574,17
78620,17
78640,16
78713,12
78612,11
78669,9
78634,5
78615,4
78626,3
78642,2
78628,1
78619,1
78654,1
