,year,count
0,2003,7567
1,2004,7021
2,2005,7386
3,2006,6702
4,2007,7550
5,2008,6744
6,2009,7974
7,2010,6696
8,2011,5943
9,2012,6171
10,2013,5840
11,2014,4973
12,2015,4542
13,2016,3946
14,2017,4111
15,2018,4737
16,2019,6096
17,2020,3117
