,year,count
0,2003,13097
1,2004,15174
2,2005,14645
3,2006,14385
4,2007,15282
5,2008,17830
6,2009,16800
7,2010,15169
8,2011,14303
9,2012,13921
10,2013,13261
11,2014,12446
12,2015,10925
13,2016,10876
14,2017,10544
15,2018,8798
16,2019,8738
17,2020,3722
