,year,count
0,2003,62793
1,2004,60785
2,2005,64123
3,2006,64605
4,2007,68777
5,2008,71728
6,2009,70136
7,2010,67573
8,2011,63425
9,2012,62052
10,2013,59334
11,2014,55839
12,2015,52814
13,2016,50760
14,2017,48053
15,2018,45306
16,2019,53457
17,2020,27001
