,year,count
0,2003,4367
1,2004,4755
2,2005,4887
3,2006,5262
4,2007,5702
5,2008,5813
6,2009,5614
7,2010,5608
8,2011,5011
9,2012,5054
10,2013,4799
11,2014,4419
12,2015,4307
13,2016,4137
14,2017,3800
15,2018,3445
16,2019,4036
17,2020,1757
